id,source_type,place_id,place_title,type,review,text,thumbnail,original,link,rating,local_guide,date,lat,lon
reviews_0,reviews,ChIJRf6ilsexfkcR4Rj0vhtVtxI,Giardini Papadopoli,Garden,,"Venice offers a refreshing green space amidst its bustling environment. While the area lacks grassy lawns and sufficient room for activities like running or kicking a ball, it provides a pleasant retreat. During my visit, the location was relatively calm, with some children playing and couples enjoying quiet moments together.",https://lh3.googleusercontent.com/geougc-cs/AMBA38sUK9F_HAdd8CrpY2koKeBDuhV1WcNIXEFyvWxE55eYtDeEIF9x1H-Kf_vZ7MzKJzDzTDSEJUK-n4_Nueg14O6oeHWMYa9wNgKj_cega5l9SeespyTcnD6dIKr9-EpwNwEJ0jWmm82aLRSI,https://lh3.googleusercontent.com/geougc-cs/AMBA38sUK9F_HAdd8CrpY2koKeBDuhV1WcNIXEFyvWxE55eYtDeEIF9x1H-Kf_vZ7MzKJzDzTDSEJUK-n4_Nueg14O6oeHWMYa9wNgKj_cega5l9SeespyTcnD6dIKr9-EpwNwEJ0jWmm82aLRSI,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pVNWJXWnNPRWROUVU4eVpFZFVURk5rVFcxSU5GRRAB!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CAIQACodChtycF9oOjU5bWZsOEdNQU8yZEdUTFNkTW1INFE%7C0cmjdrQgn2M%7C?hl=en-US,4.0,True,,45.4382983,12.3206545
reviews_1,reviews,ChIJRf6ilsexfkcR4Rj0vhtVtxI,Giardini Papadopoli,Garden,,A hidden gem that many people rush past.  A great place to get out of the afternoon sun and sit down and cool off.  Clean and well maintained.  There is a playground for the kiddos.,https://lh3.googleusercontent.com/geougc-cs/AMBA38s9gpB6iviouxI5qdJbBk4XXbQqYce2ykwdWtmMrZjyJlxPagLRPdYtviXhKK7JzX7Cjxnvm4F1CIbLk_ezm3bgrvsgXnC8MhxV3zkhLllCu1khV0qR69ihJlPAqsKqWBXqQbbyQLdcFFre,https://lh3.googleusercontent.com/geougc-cs/AMBA38s9gpB6iviouxI5qdJbBk4XXbQqYce2ykwdWtmMrZjyJlxPagLRPdYtviXhKK7JzX7Cjxnvm4F1CIbLk_ezm3bgrvsgXnC8MhxV3zkhLllCu1khV0qR69ihJlPAqsKqWBXqQbbyQLdcFFre,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21Rd1UwMVBNbXh0WXpsM1ZIVm1OMDQ0WDNCZldtYxAB!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CAIQACodChtycF9oOmQwU01PMmxtYzl3VHVmN044X3BfWmc%7C0cSTSCRFx7M%7C?hl=en-US,4.0,True,,45.4382983,12.3206545
reviews_2,reviews,ChIJRf6ilsexfkcR4Rj0vhtVtxI,Giardini Papadopoli,Garden,,Little park. Good place to have a rest in shadow before taking a bus.,https://lh3.googleusercontent.com/geougc-cs/AMBA38s0a81v5N4prNXpmACvuLG6LspnOSbe3afQaWdXoZb_y7RHSkKY4g02xpUv2cuImbdDzq2xdu59E3FbLEFJSG3lbUuTrK_eXWqdXIjfjQbto_BIDThZt9uhujuei8nD8h8RbVFQsZ92RA6G,https://lh3.googleusercontent.com/geougc-cs/AMBA38s0a81v5N4prNXpmACvuLG6LspnOSbe3afQaWdXoZb_y7RHSkKY4g02xpUv2cuImbdDzq2xdu59E3FbLEFJSG3lbUuTrK_eXWqdXIjfjQbto_BIDThZt9uhujuei8nD8h8RbVFQsZ92RA6G,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25oUVZXUTRia2R1T1ZaU1VucHZNMUl0WDJwQ1YyYxAB!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CAIQACodChtycF9oOnhQVWQ4bkduOVZSUnpvM1ItX2pCV2c%7C0cELWag9LYG%7C?hl=en-US,4.0,True,,45.4382983,12.3206545
reviews_3,reviews,ChIJRf6ilsexfkcR4Rj0vhtVtxI,Giardini Papadopoli,Garden,,"Nice little place away from the main crowds, good spot to rest get some shaded seating and have a snack. Cool breeze from the canals nearby and close to main Venice entry points",,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT213dFduQTRRM1ZWTmtjNGFWTjNUazlWWDBNNGRXYxAB!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CAIQACodChtycF9oOmwtWnA4Q3VVNkc4aVN3Tk9VX0M4dWc%7C0ciXCthYXtF%7C?hl=en-US,5.0,True,,45.4382983,12.3206545
reviews_4,reviews,ChIJRf6ilsexfkcR4Rj0vhtVtxI,Giardini Papadopoli,Garden,,Small and unsightly park. Good for kids because it’s one of the few places with a playground. Not worth a visit while you’re in Venice.,https://lh3.googleusercontent.com/geougc-cs/AMBA38sENHdd0UvufRV4yULXnFcKan4bpQPfG5b_Mkk4fwfmtpo3TLa2H3FhOVP8BJvBk9OIWGVQ9rolYU1bdDPyxAxwQqq9VmoQIbBdAWh3NEOQHUZxvfYIjRjtiCf6TUWe3lI8K03QCQ,https://lh3.googleusercontent.com/geougc-cs/AMBA38sENHdd0UvufRV4yULXnFcKan4bpQPfG5b_Mkk4fwfmtpo3TLa2H3FhOVP8BJvBk9OIWGVQ9rolYU1bdDPyxAxwQqq9VmoQIbBdAWh3NEOQHUZxvfYIjRjtiCf6TUWe3lI8K03QCQ,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ3dXFqaVRBEAE!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CIHM0ogKEICAgID7uqjiTA%7CCgwIn96itgYQ4KjwowE%7C?hl=en-US,1.0,True,,45.4382983,12.3206545
reviews_5,reviews,ChIJRf6ilsexfkcR4Rj0vhtVtxI,Giardini Papadopoli,Garden,,"Lovely small park to catch a break from all the walking. Lots of trees and lots of shade in the park.

Lots of benches to sit and listen to the birds and the sound of water from the small little fenced fountain.

Clean park without trash. I did saw a dead pigeon floating in the fountain.",https://lh3.googleusercontent.com/geougc-cs/AMBA38tgt7_GPZBZgPG5IQYeS-CLXGaXdRHMfDHIyoYzSODRWEvjzVudQJF70z45vfu4pmaJYgmOZZkVL2nQQbSiYZ-5SCtbZQw5VSMePCxOHHXFykl1UPjNvpTkht17b4SSGWu4Sc8C,https://lh3.googleusercontent.com/geougc-cs/AMBA38tgt7_GPZBZgPG5IQYeS-CLXGaXdRHMfDHIyoYzSODRWEvjzVudQJF70z45vfu4pmaJYgmOZZkVL2nQQbSiYZ-5SCtbZQw5VSMePCxOHHXFykl1UPjNvpTkht17b4SSGWu4Sc8C,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURPc2ZELXV3RRAB!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CIHM0ogKEICAgIDOsfD-uwE%7CCgwIjJSdlgYQ-M_AjwI%7C?hl=en-US,5.0,True,,45.4382983,12.3206545
reviews_6,reviews,ChIJRf6ilsexfkcR4Rj0vhtVtxI,Giardini Papadopoli,Garden,,"It's a nice, small park. There is a lot of comfy benchs so it's nice to sit around. But be careful after daylight especially if you have kids, because there is too many mosquitoes around the park. Maybe a anti-mosquitoe spray would be a good idea.",https://lh3.googleusercontent.com/geougc-cs/AMBA38sAwEPh9-5sQLhonfFoAWGvsmNvRTp4E2GepA4-Uzfwptbcsv2Y29QYV5e2Cch4cXuGgrBN3GaD_SXLWnfI6FwgNri4Yv8blPP1CiVuY59IMH4K1V27VHw1gO0SVhKXz1Kfw-PnCA,https://lh3.googleusercontent.com/geougc-cs/AMBA38sAwEPh9-5sQLhonfFoAWGvsmNvRTp4E2GepA4-Uzfwptbcsv2Y29QYV5e2Cch4cXuGgrBN3GaD_SXLWnfI6FwgNri4Yv8blPP1CiVuY59IMH4K1V27VHw1gO0SVhKXz1Kfw-PnCA,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMyNjc3RjlRRRAB!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CIHM0ogKEICAgIC2677F9QE%7CCgwI__mokwYQ4I-6mQI%7C?hl=en-US,4.0,True,,45.4382983,12.3206545
reviews_7,reviews,ChIJRf6ilsexfkcR4Rj0vhtVtxI,Giardini Papadopoli,Garden,,"There are few green spaces in Venice.  We spent 30 mins here, just chilling, to escape the heat and to rest our feet.  Not the most amazing of parks, but it's fine for a little rest.",,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2w5VlpXVlJaR05HVkZCd1JqWkRXblp5TkVSS1JVRRAB!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CAIQACodChtycF9oOl9VZWVRZGNGVFBwRjZDWnZyNERKRUE%7C0cNhV14ybvC%7C?hl=en-US,4.0,True,,45.4382983,12.3206545
reviews_8,reviews,ChIJC5Nv-c6xfkcRSN1wy2n769c,Giardini di Ca' Rezzonico,Park,,"Shaded green area. If you're travelling with kids, it has a few prices of playground equipment that can make their time more enjoyable.",,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xaUmNGWjBlblJYVEdSME1sZG1jbGc0ZVRsVFNYYxAB!2m1!1s0x0:0xd7ebfb69cb70dd48!3m1!1s2@1:CAIQACodChtycF9oOlZRcFZ0enRXTGR0Mldmclg4eTlTSXc%7C0cPXl0vK2jM%7C?hl=en-GB,5.0,True,,45.4335868,12.325755899999999
reviews_9,reviews,ChIJC5Nv-c6xfkcRSN1wy2n769c,Giardini di Ca' Rezzonico,Park,,Beautiful Park with lots of seating and a playground.,https://lh3.googleusercontent.com/geougc-cs/AMBA38uFTIHASzowFaA9bqVr116IgqbKD0MyG0quof2m-7sZpNcS1JeKtNmu1W9ukov6_cDqt5ifUwkn624YZ2FujtIeTBGNNcpGhnB676ljeWmdS1vSga2Jodk6HpsenV-Gkc9r6PY,https://lh3.googleusercontent.com/geougc-cs/AMBA38uFTIHASzowFaA9bqVr116IgqbKD0MyG0quof2m-7sZpNcS1JeKtNmu1W9ukov6_cDqt5ifUwkn624YZ2FujtIeTBGNNcpGhnB676ljeWmdS1vSga2Jodk6HpsenV-Gkc9r6PY,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURMcDZhVnV3RRAB!2m1!1s0x0:0xd7ebfb69cb70dd48!3m1!1s2@1:CIHM0ogKEICAgIDLp6aVuwE%7CCgsIiomMtAYQ-JOIWA%7C?hl=en-GB,5.0,True,,45.4335868,12.325755899999999
