id,source_type,place_id,place_title,type,review,text,thumbnail,original,link,rating,local_guide,date,lat,lon,date_iso,link_clean,link_domain
reviews_0,reviews,ChIJRf6ilsexfkcR4Rj0vhtVtxI,Giardini Papadopoli,Garden,,"Venice offers a refreshing green space amidst its bustling environment. While the area lacks grassy lawns and sufficient room for activities like running or kicking a ball, it provides a pleasant retreat. During my visit, the location was relatively calm, with some children playing and couples enjoying quiet moments together.",https://lh3.googleusercontent.com/geougc-cs/AMBA38sUK9F_HAdd8CrpY2koKeBDuhV1WcNIXEFyvWxE55eYtDeEIF9x1H-Kf_vZ7MzKJzDzTDSEJUK-n4_Nueg14O6oeHWMYa9wNgKj_cega5l9SeespyTcnD6dIKr9-EpwNwEJ0jWmm82aLRSI,https://lh3.googleusercontent.com/geougc-cs/AMBA38sUK9F_HAdd8CrpY2koKeBDuhV1WcNIXEFyvWxE55eYtDeEIF9x1H-Kf_vZ7MzKJzDzTDSEJUK-n4_Nueg14O6oeHWMYa9wNgKj_cega5l9SeespyTcnD6dIKr9-EpwNwEJ0jWmm82aLRSI,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pVNWJXWnNPRWROUVU4eVpFZFVURk5rVFcxSU5GRRAB!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CAIQACodChtycF9oOjU5bWZsOEdNQU8yZEdUTFNkTW1INFE%7C0cmjdrQgn2M%7C?hl=en-US,4.0,True,,45.4382983,12.3206545,nan,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pVNWJXWnNPRWROUVU4eVpFZFVURk5rVFcxSU5GRRAB!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CAIQACodChtycF9oOjU5bWZsOEdNQU8yZEdUTFNkTW1INFE%7C0cmjdrQgn2M%7C?hl=en-US,google.com
reviews_1,reviews,ChIJRf6ilsexfkcR4Rj0vhtVtxI,Giardini Papadopoli,Garden,,A hidden gem that many people rush past.  A great place to get out of the afternoon sun and sit down and cool off.  Clean and well maintained.  There is a playground for the kiddos.,https://lh3.googleusercontent.com/geougc-cs/AMBA38s9gpB6iviouxI5qdJbBk4XXbQqYce2ykwdWtmMrZjyJlxPagLRPdYtviXhKK7JzX7Cjxnvm4F1CIbLk_ezm3bgrvsgXnC8MhxV3zkhLllCu1khV0qR69ihJlPAqsKqWBXqQbbyQLdcFFre,https://lh3.googleusercontent.com/geougc-cs/AMBA38s9gpB6iviouxI5qdJbBk4XXbQqYce2ykwdWtmMrZjyJlxPagLRPdYtviXhKK7JzX7Cjxnvm4F1CIbLk_ezm3bgrvsgXnC8MhxV3zkhLllCu1khV0qR69ihJlPAqsKqWBXqQbbyQLdcFFre,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21Rd1UwMVBNbXh0WXpsM1ZIVm1OMDQ0WDNCZldtYxAB!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CAIQACodChtycF9oOmQwU01PMmxtYzl3VHVmN044X3BfWmc%7C0cSTSCRFx7M%7C?hl=en-US,4.0,True,,45.4382983,12.3206545,nan,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21Rd1UwMVBNbXh0WXpsM1ZIVm1OMDQ0WDNCZldtYxAB!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CAIQACodChtycF9oOmQwU01PMmxtYzl3VHVmN044X3BfWmc%7C0cSTSCRFx7M%7C?hl=en-US,google.com
reviews_2,reviews,ChIJRf6ilsexfkcR4Rj0vhtVtxI,Giardini Papadopoli,Garden,,Little park. Good place to have a rest in shadow before taking a bus.,https://lh3.googleusercontent.com/geougc-cs/AMBA38s0a81v5N4prNXpmACvuLG6LspnOSbe3afQaWdXoZb_y7RHSkKY4g02xpUv2cuImbdDzq2xdu59E3FbLEFJSG3lbUuTrK_eXWqdXIjfjQbto_BIDThZt9uhujuei8nD8h8RbVFQsZ92RA6G,https://lh3.googleusercontent.com/geougc-cs/AMBA38s0a81v5N4prNXpmACvuLG6LspnOSbe3afQaWdXoZb_y7RHSkKY4g02xpUv2cuImbdDzq2xdu59E3FbLEFJSG3lbUuTrK_eXWqdXIjfjQbto_BIDThZt9uhujuei8nD8h8RbVFQsZ92RA6G,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25oUVZXUTRia2R1T1ZaU1VucHZNMUl0WDJwQ1YyYxAB!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CAIQACodChtycF9oOnhQVWQ4bkduOVZSUnpvM1ItX2pCV2c%7C0cELWag9LYG%7C?hl=en-US,4.0,True,,45.4382983,12.3206545,nan,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25oUVZXUTRia2R1T1ZaU1VucHZNMUl0WDJwQ1YyYxAB!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CAIQACodChtycF9oOnhQVWQ4bkduOVZSUnpvM1ItX2pCV2c%7C0cELWag9LYG%7C?hl=en-US,google.com
reviews_3,reviews,ChIJRf6ilsexfkcR4Rj0vhtVtxI,Giardini Papadopoli,Garden,,"Nice little place away from the main crowds, good spot to rest get some shaded seating and have a snack. Cool breeze from the canals nearby and close to main Venice entry points",,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT213dFduQTRRM1ZWTmtjNGFWTjNUazlWWDBNNGRXYxAB!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CAIQACodChtycF9oOmwtWnA4Q3VVNkc4aVN3Tk9VX0M4dWc%7C0ciXCthYXtF%7C?hl=en-US,5.0,True,,45.4382983,12.3206545,nan,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT213dFduQTRRM1ZWTmtjNGFWTjNUazlWWDBNNGRXYxAB!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CAIQACodChtycF9oOmwtWnA4Q3VVNkc4aVN3Tk9VX0M4dWc%7C0ciXCthYXtF%7C?hl=en-US,google.com
reviews_4,reviews,ChIJRf6ilsexfkcR4Rj0vhtVtxI,Giardini Papadopoli,Garden,,Small and unsightly park. Good for kids because it’s one of the few places with a playground. Not worth a visit while you’re in Venice.,https://lh3.googleusercontent.com/geougc-cs/AMBA38sENHdd0UvufRV4yULXnFcKan4bpQPfG5b_Mkk4fwfmtpo3TLa2H3FhOVP8BJvBk9OIWGVQ9rolYU1bdDPyxAxwQqq9VmoQIbBdAWh3NEOQHUZxvfYIjRjtiCf6TUWe3lI8K03QCQ,https://lh3.googleusercontent.com/geougc-cs/AMBA38sENHdd0UvufRV4yULXnFcKan4bpQPfG5b_Mkk4fwfmtpo3TLa2H3FhOVP8BJvBk9OIWGVQ9rolYU1bdDPyxAxwQqq9VmoQIbBdAWh3NEOQHUZxvfYIjRjtiCf6TUWe3lI8K03QCQ,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ3dXFqaVRBEAE!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CIHM0ogKEICAgID7uqjiTA%7CCgwIn96itgYQ4KjwowE%7C?hl=en-US,1.0,True,,45.4382983,12.3206545,nan,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ3dXFqaVRBEAE!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CIHM0ogKEICAgID7uqjiTA%7CCgwIn96itgYQ4KjwowE%7C?hl=en-US,google.com
reviews_5,reviews,ChIJRf6ilsexfkcR4Rj0vhtVtxI,Giardini Papadopoli,Garden,,"Lovely small park to catch a break from all the walking. Lots of trees and lots of shade in the park.

Lots of benches to sit and listen to the birds and the sound of water from the small little fenced fountain.

Clean park without trash. I did saw a dead pigeon floating in the fountain.",https://lh3.googleusercontent.com/geougc-cs/AMBA38tgt7_GPZBZgPG5IQYeS-CLXGaXdRHMfDHIyoYzSODRWEvjzVudQJF70z45vfu4pmaJYgmOZZkVL2nQQbSiYZ-5SCtbZQw5VSMePCxOHHXFykl1UPjNvpTkht17b4SSGWu4Sc8C,https://lh3.googleusercontent.com/geougc-cs/AMBA38tgt7_GPZBZgPG5IQYeS-CLXGaXdRHMfDHIyoYzSODRWEvjzVudQJF70z45vfu4pmaJYgmOZZkVL2nQQbSiYZ-5SCtbZQw5VSMePCxOHHXFykl1UPjNvpTkht17b4SSGWu4Sc8C,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURPc2ZELXV3RRAB!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CIHM0ogKEICAgIDOsfD-uwE%7CCgwIjJSdlgYQ-M_AjwI%7C?hl=en-US,5.0,True,,45.4382983,12.3206545,nan,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURPc2ZELXV3RRAB!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CIHM0ogKEICAgIDOsfD-uwE%7CCgwIjJSdlgYQ-M_AjwI%7C?hl=en-US,google.com
reviews_6,reviews,ChIJRf6ilsexfkcR4Rj0vhtVtxI,Giardini Papadopoli,Garden,,"It's a nice, small park. There is a lot of comfy benchs so it's nice to sit around. But be careful after daylight especially if you have kids, because there is too many mosquitoes around the park. Maybe a anti-mosquitoe spray would be a good idea.",https://lh3.googleusercontent.com/geougc-cs/AMBA38sAwEPh9-5sQLhonfFoAWGvsmNvRTp4E2GepA4-Uzfwptbcsv2Y29QYV5e2Cch4cXuGgrBN3GaD_SXLWnfI6FwgNri4Yv8blPP1CiVuY59IMH4K1V27VHw1gO0SVhKXz1Kfw-PnCA,https://lh3.googleusercontent.com/geougc-cs/AMBA38sAwEPh9-5sQLhonfFoAWGvsmNvRTp4E2GepA4-Uzfwptbcsv2Y29QYV5e2Cch4cXuGgrBN3GaD_SXLWnfI6FwgNri4Yv8blPP1CiVuY59IMH4K1V27VHw1gO0SVhKXz1Kfw-PnCA,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMyNjc3RjlRRRAB!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CIHM0ogKEICAgIC2677F9QE%7CCgwI__mokwYQ4I-6mQI%7C?hl=en-US,4.0,True,,45.4382983,12.3206545,nan,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMyNjc3RjlRRRAB!2m1!1s0x0:0x12b7551bbef418e1!3m1!1s2@1:CIHM0ogKEICAgIC2677F9QE%7CCgwI__mokwYQ4I-6mQI%7C?hl=en-US,google.com
reviews_9,reviews,ChIJC5Nv-c6xfkcRSN1wy2n769c,Giardini di Ca' Rezzonico,Park,,Beautiful Park with lots of seating and a playground.,https://lh3.googleusercontent.com/geougc-cs/AMBA38uFTIHASzowFaA9bqVr116IgqbKD0MyG0quof2m-7sZpNcS1JeKtNmu1W9ukov6_cDqt5ifUwkn624YZ2FujtIeTBGNNcpGhnB676ljeWmdS1vSga2Jodk6HpsenV-Gkc9r6PY,https://lh3.googleusercontent.com/geougc-cs/AMBA38uFTIHASzowFaA9bqVr116IgqbKD0MyG0quof2m-7sZpNcS1JeKtNmu1W9ukov6_cDqt5ifUwkn624YZ2FujtIeTBGNNcpGhnB676ljeWmdS1vSga2Jodk6HpsenV-Gkc9r6PY,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURMcDZhVnV3RRAB!2m1!1s0x0:0xd7ebfb69cb70dd48!3m1!1s2@1:CIHM0ogKEICAgIDLp6aVuwE%7CCgsIiomMtAYQ-JOIWA%7C?hl=en-GB,5.0,True,,45.4335868,12.3257559,nan,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURMcDZhVnV3RRAB!2m1!1s0x0:0xd7ebfb69cb70dd48!3m1!1s2@1:CIHM0ogKEICAgIDLp6aVuwE%7CCgsIiomMtAYQ-JOIWA%7C?hl=en-GB,google.com
reviews_11,reviews,ChIJC5Nv-c6xfkcRSN1wy2n769c,Giardini di Ca' Rezzonico,Park,,"The garden is very cozy and tranquil, but we went there specifically for the kids playground that, unfortunately, is temporarily closed",https://lh3.googleusercontent.com/geougc-cs/AMBA38utOk_kyg9hMPCCn4L9mTzHf4Lqnnbe54dAa01z82umdzlhW3nHLCJZvcczHY4ezfO78TyOGTWphxRdv4Z_PZ1HeGdiTPnm9l-SFjtPaAT72AW-ZdY3gjOECiyjyM_UyBr270tPfQ,https://lh3.googleusercontent.com/geougc-cs/AMBA38utOk_kyg9hMPCCn4L9mTzHf4Lqnnbe54dAa01z82umdzlhW3nHLCJZvcczHY4ezfO78TyOGTWphxRdv4Z_PZ1HeGdiTPnm9l-SFjtPaAT72AW-ZdY3gjOECiyjyM_UyBr270tPfQ,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ2Z0x1MVF3EAE!2m1!1s0x0:0xd7ebfb69cb70dd48!3m1!1s2@1:CIHM0ogKEICAgID6gLu1Qw%7CCgwIpsGSigYQwIahjgM%7C?hl=en-GB,4.0,True,,45.4335868,12.3257559,nan,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ2Z0x1MVF3EAE!2m1!1s0x0:0xd7ebfb69cb70dd48!3m1!1s2@1:CIHM0ogKEICAgID6gLu1Qw%7CCgwIpsGSigYQwIahjgM%7C?hl=en-GB,google.com
reviews_21,reviews,ChIJWWUC3UixfkcRh1qGMpqX-gM,Royal Garden,Park,,"Had a wonderful time at the royal gardens. If you’re in San Marco Square, highly recommend taking a break from the hustle and bustle here. It’s free and if you’re lucky you’ll get a bench in the shade.",https://lh3.googleusercontent.com/geougc-cs/AMBA38vOmOzKReh0oWO3rKrckyCtbcd7NKgQxWK6W1YD4ko2MiHVLjArbLMi89879pQvkccUtpUJDAH5c79JNGiTCNiqoLcPzGpKW7C9UAXPWSroUDqpo-wbJDVlPwk2jaDZyJKbp39k,https://lh3.googleusercontent.com/geougc-cs/AMBA38vOmOzKReh0oWO3rKrckyCtbcd7NKgQxWK6W1YD4ko2MiHVLjArbLMi89879pQvkccUtpUJDAH5c79JNGiTCNiqoLcPzGpKW7C9UAXPWSroUDqpo-wbJDVlPwk2jaDZyJKbp39k,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ3LXRtS3d3RRAB!2m1!1s0x0:0x3fa979a32865a87!3m1!1s2@1:CIHM0ogKEICAgID7-tmKwwE%7CCgsI16KjtgYQ4IKNZw%7C?hl=en-US,5.0,True,,45.4329859,12.3382939,nan,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ3LXRtS3d3RRAB!2m1!1s0x0:0x3fa979a32865a87!3m1!1s2@1:CIHM0ogKEICAgID7-tmKwwE%7CCgsI16KjtgYQ4IKNZw%7C?hl=en-US,google.com
reviews_23,reviews,ChIJWWUC3UixfkcRh1qGMpqX-gM,Royal Garden,Park,,Miło odpocząć w upalne dni. Jest źródło wody,https://lh3.googleusercontent.com/geougc-cs/AMBA38ut5V58aXPGPPSfxEyL2z_7VjaKFdQnYemW25rzF1WcbxJSgoNRPdnqU085Wdr8Bh9KJklzl2nxK5qJvc2e1JgdH-Fq1F1BUoLO3Okaj0V9oJqRIs97Mj634asBTxyqV9CgDymvnW2g0O-p,https://lh3.googleusercontent.com/geougc-cs/AMBA38ut5V58aXPGPPSfxEyL2z_7VjaKFdQnYemW25rzF1WcbxJSgoNRPdnqU085Wdr8Bh9KJklzl2nxK5qJvc2e1JgdH-Fq1F1BUoLO3Okaj0V9oJqRIs97Mj634asBTxyqV9CgDymvnW2g0O-p,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25KaFpGOUNTa2gyZFZoTk1scGthbFpDZW5wUmVsRRAB!2m1!1s0x0:0x3fa979a32865a87!3m1!1s2@1:CAIQACodChtycF9oOnJhZF9CSkh2dVhNMlpkalZCenpRelE%7C0cKL8yFh2La%7C?hl=en-US,5.0,True,,45.4329859,12.3382939,nan,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25KaFpGOUNTa2gyZFZoTk1scGthbFpDZW5wUmVsRRAB!2m1!1s0x0:0x3fa979a32865a87!3m1!1s2@1:CAIQACodChtycF9oOnJhZF9CSkh2dVhNMlpkalZCenpRelE%7C0cKL8yFh2La%7C?hl=en-US,google.com
