position,title,rating,reviews,type,address,open_state,place_id,gps,link,thumbnail,original
1,La Piazza,4.7,20649.0,Ristorante italiano,"S. Marco, 615, 30124 Venezia VE, Italia",Aperto ⋅ Chiude alle ore 00,ChIJ7Xgj8duxfkcRPg0h9g1v5DI,"{'latitude': 45.4357572, 'longitude': 12.338830699999999}",,https://lh3.googleusercontent.com/p/AF1QipOWFSUliR6u3RcKYLydeqhStszguHISimYXruO1=w122-h92-k-no,
2,Piazza San Marco,4.7,190347.0,Piazza,"P.za San Marco, 30100 Venezia VE, Italia",Ora aperto,ChIJiYRBbtexfkcRG_b_RJa70AI,"{'latitude': 45.4341668, 'longitude': 12.3384717}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwkaBZv_xLDvNcccFrg8B-ljNG5RXocfgqOoSkE-aLMnmdsBOymN6pj-XdVwGIzgSKUtG4Ekj8kWgFnMDvct6AxSdOIvBMUa4OzhkAjkL-lXRAg2Dp2JeL0NFoIs88wuIgUJve9=w137-h92-k-no,
3,Piazza San Marco,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJHSeBetexfkcROf6uiJf_agM,"{'latitude': 45.4341668, 'longitude': 12.3384713}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzuJFkC0LxfhhCKZXno_tkIHKCayDuGp3TtJ_a5pKnV9l9LaDZPP4Ovq8qg04Cm9-TcLwC9deEtosTDmkOgW1mUTPP_gDWuKaxd8j9bQa7ivfydCPKBBHAtuWs6ALkz1iO5iPo3=w365-h92-k-no,
4,La Piazza,4.9,8.0,,"30100 Venezia VE, Italia",,ChIJTQyz9duxfkcR4knq20l8D4Q,"{'latitude': 45.4396041, 'longitude': 12.3371526}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzEG5HgJQC3oCay0A0GpwQwVo2k21sD6C6TvbWyoUFDab4iYdWjDsNsCCh6kgbzH6IdT2cQOcBYw5I-aouzrYYAk0QqPEuTPASz9nG4pavjfVBPkUIVTwNt6dJkdbyQTZjhn72G=w80-h106-k-no,
5,Piazzale Roma,4.2,168.0,Fermata del tram,"30100 Venezia VE, Italia",,ChIJ102ICrixfkcRDByOh9jGJTM,"{'latitude': 45.437879599999995, 'longitude': 12.3190004}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwRe3p-I0xDMfNpsYIA_VBD0CEmwTiU0QBvq9IigfWmoRFEzTwFzRMVqCQj_kzV5i5sxpkd_VNKy0MAavlDGW_WV2A0W58xkj9xTzkLqTHSJKIuHGjQK08g96vfbZ1vlkMBOoFv=w80-h106-k-no,
6,La Piazza Zone,4.8,314.0,Ristorante italiano,"P.za San Marco, 215, 30124 Venezia VE, Italia",Aperto ⋅ Chiude alle ore 00,ChIJW6jNfNyxfkcRc5yN7FBWkmk,"{'latitude': 45.4350889, 'longitude': 12.338622299999999}",,https://lh3.googleusercontent.com/p/AF1QipOmsYB6EY_QVp9DFfoaeWRi95kF5k1MW_xp64Ii=w80-h106-k-no,
7,Piazzetta dei Leoncini,4.6,37.0,Piazza,"Calle de la Canonica, 30124 Venezia VE, Italia",Ora aperto,ChIJqaVKPQmxfkcRWM5WDsbBfu0,"{'latitude': 45.4347697, 'longitude': 12.3392903}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy6cU_yLGcv6MWQzyVuvp4fcvRKa2yQ6Bw2TcbyVOYBTNsqRByitsKc2BjEpk7Ux1DiM0KM4IoFWJLu3fNwgg6C1Svx5vvRRcraAAfIErAv82uxU8yp7NRLYhwZmV2s1SBsHJRy=w122-h92-k-no,
8,Bar Ristorante Piazza Ducale,3.9,197.0,Ristorante,"Piscina S. Moise, 115, 30124 Venezia VE, Italia",Aperto ⋅ Chiude alle ore 23,ChIJZZP54uOxfkcRQw04hDjo678,"{'latitude': 45.4342563, 'longitude': 12.337916799999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx_i651WxSz0JDHOOplTnhwINIPxLc-juao3fUeFsWwbHtH86FxuQMNqXuXKqlBEkrLy7cK5lR7YU-5cPHMbkapQf2dd6FcIMTzpziGgA4XoVAK3gm_Z6EDwfqsbCtDb0x2oSOg5Vli9pgc=w307-h92-k-no,
9,Piazzale Roma,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJRxCkisexfkcR9f5NwayGdZA,"{'latitude': 45.4378574, 'longitude': 12.318648}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxQx0b9M63hSi2PfYlvsJ__WalxsHc_vwfRzWmUYUTjeGaa8M8y5x8HREnKo_cKEsx1CSEvK6wfd_ZZNkxS1JV1Hv5vZQyKKO8TsN2H17jTlEcoX9ZRz2K3uPzdcwdy2RJ7-wBe=w80-h92-k-no-pi-25.431522-ya107.14205-ro-14.021925-fo100,
10,Campo San Zaccaria,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJ2fJt-yeufkcRuTw-J4dautU,"{'latitude': 45.4346858, 'longitude': 12.3431562}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzKeb0SzNO0MP74ykz-9DxRDdZa5xSmUE9fym3qFlq0ugE8TrLv6h8hAaIrPLyTQm5Fs3a1SgecimW0MR2XXgvSfQa8XSbVWKQ6hzNoToh9b5qk5kXzgTEtZG_d0aZl-X0bYyn9TA=w122-h92-k-no,
11,Campo San Maurizio,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJcQrVsdGxfkcRbEaDwQbncCY,"{'latitude': 45.4328249, 'longitude': 12.3315108}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxxIgcOuG3iFbtN_RBIPVltTboWJ7XSjoDBXUDabne33AFQiZsKgFGIkhZLFlRfkzyUJKYvTmbk5YIHDMRYJA2CKO43SIcOSuM8PamVcERlRq2SXg6XPBj9Nqrep49wcVB-HnDR=w122-h92-k-no,
12,Piazzetta San Marco,4.9,102.0,Punto di riferimento storico,"P.zt San Marco, 30100 Venezia VE, Italia",Aperto 24 ore su 24,ChIJxVDkegCxfkcRbhz_Ket00-A,"{'latitude': 45.4337762, 'longitude': 12.339640399999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyBrEpwm07nomMTlgPi2DxDQABtk4yhikk2vvSR5H0QV8bJ3NberB5h7LkSS_TuZuBW8nDpCFkYT34dYYrn90pgeXAyvDGkgWXZ3ygrR_cHWTd6ieSPvt_SD3HDocgQdt5OWqiNXWKpIw=w122-h92-k-no,
13,Piazzetta dei Leoncini,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJwcbYKtixfkcR2lrD770OL0o,"{'latitude': 45.4348965, 'longitude': 12.3395248}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwF8hfQYkqVfCqG9iNT5uisfDRMe5CdGrdlsYzh5YvAwzhbPyYIFLrIng6rLf-2V2JOejMNvQ1Wy6etAnvodJLfK9vV36ifYfnK2PGJAYeLaFsi7Z2ksv2PYkaDXUAeTbOB6mSn=w80-h106-k-no,
14,Campo Beccarie,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJn8X3QtuxfkcRTBpwlUabdHA,"{'latitude': 45.4394074, 'longitude': 12.3335916}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxA5QIrQkn0UnyfqnZs6QEECw8MtvFsj6vU24mn07Oi62bEMXne13E8ESIn8fK-ANt8RYHn7NIf3X4LfBKfhNO4eoBRg-05GwFerd7mncBSUFjrn_0NMEi9Z6goN7DwHrves3w=w122-h92-k-no,
15,Campo Santi Giovanni e Paolo,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJa4XC1NixfkcRYotemy1n_cA,"{'latitude': 45.4392207, 'longitude': 12.341271899999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSws5T6vfkZR4LMp2hoQTtjskzEmUOkHGjRuMMcMUZphZ6bcdxk13XQjXHcgRaURCI-r7G-f1D2gXiGWTlHaiaEZGRbZhBupgqjq12pZ95-1If4v0j6mwfhwq5r5n6tOGTZeK9V1fg=w122-h92-k-no,
16,Campo della Pescaria,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJTVV_ZNuxfkcR3nQJjesbgCk,"{'latitude': 45.439784499999995, 'longitude': 12.3344094}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxOrZNYjz_5W36T6ftw7Bt7etF9XnCIF5rMa0QfDdcMqEa9TQLPhd2QzyOyRQAa3ME_nBJiiX4yf-GqvL9gzTAOIWEAZpNqGSLje_HrTAvhuvvY3meS_frprEceU47LkFtQ3rUb=w80-h106-k-no,
17,Campo San Donato,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJF6ueQgGufkcRglsQhlSiLqA,"{'latitude': 45.457178299999995, 'longitude': 12.357264599999999}",,,
