position,title,rating,reviews,type,address,open_state,place_id,gps,link,thumbnail,original
1,Giardini della Biennale,4.5,12260.0,Giardino,"Calle Giazzo, 30122 Venezia VE, Italia",Chiuso ⋅ Apre mar alle ore 10,ChIJqzZkRzGufkcRiabs3CYIiBk,"{'latitude': 45.4287722, 'longitude': 12.3580806}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyGJsW8i7TmtDQovSp7SyNf2q6wgkA5V75lCR8LwNf_pthnq6IX90Gs-KEH0SQooLtukgZXnmTDXwdA34wAVqPB_RKx3nR0ggaEyIhIl40893VTV8icJjvDidui1eA3ulFAmNTd=w80-h142-k-no,
2,Giardini Papadopoli,4.4,3387.0,Giardino,"30135 Sestriere Santa Croce, Venezia VE, Italia",Aperto ⋅ Chiude alle ore 20:30,ChIJRf6ilsexfkcR4Rj0vhtVtxI,"{'latitude': 45.4382983, 'longitude': 12.3206545}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwbjT8QEU9y2OpgVH1rEQWvSau9XQYJO8NPolRoich-ocAngHJdwRF0Up24nb2HYRPIsmMEcM1nv7zKgyjX8XHor1WtEovAX4amSets6UxEc_1Hd5lgWJ-tvGC9q3taF-rprP7XkA=w122-h92-k-no,
3,Giardini Reali,4.5,2380.0,Giardino pubblico,"P.za San Marco, 30124 Venezia VE, Italia",Chiuso ⋅ Apre mer alle ore 09,ChIJMasuBtexfkcRJCxPSAYJlVY,"{'latitude': 45.432983899999996, 'longitude': 12.338291499999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx4tpPi8G6RcoFMY42HXXZKddMl0eAVj7OI0pnH3mrEqlULqGq3ypcrDVIrknnqIdwHlivqsI7T9wh_h8k214QJgES9xKhfGqVapCuFK62t0xAV7KjoHZakjlX9RoA6kihQczY5=w122-h92-k-no,
4,Giardini della Marinaressa,4.6,1960.0,Giardino,"Riva dei Sette Martiri, 30122 Venezia VE, Italia",Aperto ⋅ Chiude alle ore 20:30,ChIJAy5F1S-ufkcReQqjg_LgAwo,"{'latitude': 45.4314603, 'longitude': 12.352596799999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSynEhaWwipHAMTucmx1Y3qOzmKDLiZugl1B0RU7p_xR9nThsexmMO8JByabTOXcPVcCiIrjlOAAxUUyTMuGuq10XweJb060eglHrzISkoCD-FcNODrUY62FYEBX6JFnNrGk4_3C=w163-h92-k-no,
5,Giardini Napoleonici,4.4,51.0,Giardino,"Viale Trento, 30122 Venezia VE, Italia",Aperto 24 ore su 24,ChIJcZdwNwyvfkcRp1Vr837WVNM,"{'latitude': 45.430082999999996, 'longitude': 12.3553239}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwGic0NUvvSXUGkojTEgFyXTJgUrOrD68UPhzeDr2kXPKsFPHNklurQzCxHRB_RJ_ebQLOH-9LZRPbFFlBrCXlgndy-VqzwOA1Wwh8mvJQRMShWLhEYm2nXLhih0L6bl_26huxV=w163-h92-k-no,
6,Giardini di Ca' Rezzonico,4.4,69.0,Parco,"Fondamenta Rezzonico, 30123 Venezia VE, Italia",Chiude tra poco ⋅ 16 ⋅ Apre mer alle ore 10,ChIJC5Nv-c6xfkcRSN1wy2n769c,"{'latitude': 45.4335868, 'longitude': 12.325755899999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzVnz90NTZI_qw-WDEOOyVnoA2x8Nutym7KsjPsF3EboyIkQr1x0HBBX71q79DNIt6QNiPxUlxg-emUKHaPTvpeLhFGTqj9tVbKIvQsbDT6OBnwZDOq3j4Nz7slCH_Tsf2d4Ko=w163-h92-k-no,
7,Giardino di Ca’ Dolfin,4.5,13.0,Giardino,"Sestiere Dorsoduro, 3825, E, 30123 Venezia VE, Italia",,ChIJMwEKW3OxfkcRTFvB9oPuro0,"{'latitude': 45.434934399999996, 'longitude': 12.325874299999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyWmST1hMAU_RxqkIGH7Jek0L2YC3b9uS-abh_DwnIMLdopSKF8ngeg6252OWLyCRPLymg-0eBV22Z3RdZYa_u7Bmh3W3yUznZDmBL7d-ZUgs0K371Da6NZrBmov7fF3g8LFu7p=w80-h106-k-no,
8,Parco di Villa Groggia,4.5,106.0,Giardino pubblico,"Cannaregio, 30100 Venezia VE, Italia",Ora aperto,ChIJPWCbZsGxfkcRo378GYpeAa8,"{'latitude': 45.4480358, 'longitude': 12.3277307}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwuENqd1I7P2iTKFGizuyrLuMrEFTPvM7jdbgR8rFnMKgOdGtaWGar4ScUv0Ud2K9HaogHD_7RvnhqM-KowokKORqR-41XQ1ake-gSUK5tYbYxkAauicoLzzDHIa4IFVBpjqMwO=w122-h92-k-no,
9,Giardino d'Inverno,4.2,117.0,Ristorante,"Giardini Papadopoli, 245, 30135 Venezia VE, Italia",Chiuso ⋅ Apre alle ore 19,ChIJU8aVdcexfkcRkeVjLOB0ESs,"{'latitude': 45.4381152, 'longitude': 12.32122}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwZRD0z-G1HOiVwZ_0Zvwj-HVjqfFeyIn1EZQKC28O_zmB6hUXOSyxrWppOdtc4wxSd1vFRZJAF9LYXAJOX56QFIP0yeMu5JVbQs563-6C6GyNKgLvnnpMVCLgb2ttnANSSv8k=w80-h106-k-no,
10,Osteria al Giardino,4.7,335.0,Ristorante,"Calle dei Boteri, 1659, 30125 Venezia VE, Italia",Aperto ⋅ Chiude alle ore 22:30,ChIJZYJEBfixfkcRtId_UWMfjIg,"{'latitude': 45.4396485, 'longitude': 12.332899}",,https://lh3.googleusercontent.com/p/AF1QipPJpvCcLTtkrqwMJONbvsezUPhkOk1NlhXVf4_R=w80-h106-k-no,
