position,title,rating,reviews,type,address,open_state,place_id,gps,link,thumbnail,original
1,Giardini Papadopoli,4.4,3387.0,Giardino,"30135 Sestriere Santa Croce, Venezia VE, Italia",Aperto ⋅ Chiude alle ore 20:30,ChIJRf6ilsexfkcR4Rj0vhtVtxI,"{'latitude': 45.4382983, 'longitude': 12.3206545}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyK0WyQSkbIXfgA-Yov1qTeEpshh-fgqA5hH1MlwAhnwH8AsbbBILHUMDMWecfCNovORP7BOz26N4SFOlftOi0X6TxoPWNX0DKH5rdV9mvrRIEaJmi_Mrep9yXOnupmQ5rficoyqg=w122-h92-k-no,
2,Giardini della Marinaressa,4.6,1956.0,Giardino,"Riva dei Sette Martiri, 30122 Venezia VE, Italia",Aperto ⋅ Chiude alle ore 20:30,ChIJAy5F1S-ufkcReQqjg_LgAwo,"{'latitude': 45.4314603, 'longitude': 12.352596799999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwqkeG_v7QNrJEw3v-JAYV8tCX7uEar8uqbBdef6MQebwNcHRaDwVOXgKc74CeL-x6AvNzPMa3Pmxpkz0O33d4pt2zjmlW47-59xGzeCwY1WauRlPQ0fmJXvm_9uj6gyBIF_Bdz=w189-h92-k-no,
3,Parco di Villa Groggia,4.5,106.0,Giardino pubblico,"Cannaregio, 30100 Venezia VE, Italia",,ChIJPWCbZsGxfkcRo378GYpeAa8,"{'latitude': 45.4480358, 'longitude': 12.3277307}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwReqtM4X0cnGcxZUPSU2ZYweLg_PvoGyv4VoorwGnIElVbSwCjaFppFyH30SdfOf-xuQFstvtFk9ol4XUotVsEen5VrAMzkIr6Gc4Irjb20rIMkp24PSdNlpV4LJXxB8eqvxj9=w122-h92-k-no,
4,Giardini Napoleonici,4.4,51.0,Giardino,"Viale Trento, 30122 Venezia VE, Italia",Aperto 24 ore su 24,ChIJcZdwNwyvfkcRp1Vr837WVNM,"{'latitude': 45.430082999999996, 'longitude': 12.3553239}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw2NjuMDlM39ala-keSZtJCkyHRJyObGB2AQ267ViTaYdrbQnA8wVnmRK-2wgSOk-Ngkv2g2z6rSpyCzzlmwor4I9B64GZ5ZYgQZthGLkJXTpHj2Utdtq2a-NbOqBWuJvGGaAV4=w163-h92-k-no,
5,Giardini della Biennale,4.5,12251.0,Giardino,"Calle Giazzo, 30122 Venezia VE, Italia",Chiuso ⋅ Apre ven alle ore 10,ChIJqzZkRzGufkcRiabs3CYIiBk,"{'latitude': 45.4287722, 'longitude': 12.3580806}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzW9MVw0Pv86ldw4kdZxZZn6h-P3BjABRqgv3VxJgJ8a5XEEF5ps5xfZxaLWk0P200GT-W0xR2YbunM_ibwc-iuCklLBdeNaXVdUMghyzV-rx4A-xX6_rUCDV5F5kcktPyxR26V=w122-h92-k-no,
6,Parco degli Angeli,4.2,44.0,Parco comunale,"Venezia - Murano, 30141 Venezia VE, Italia",Aperto 24 ore su 24,ChIJc1zH6u2xfkcRoKOHRHS_IVI,"{'latitude': 45.460308, 'longitude': 12.349213599999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx13QcOweWYkKxubRO7m87fwtTwCPTdMK0ILNUSv0hHjvA79gmt4AM5kwKtdhcI0QB9spBGVYmOJvyl37KHuf-2LC_o5cuxHp1HzvXdcImmnFEuYYcKjK9HFXXeeXcluCl6rfYR=w80-h106-k-no,
7,Parco di Palazzo Savorgnan,3.0,1.0,Parco,"Calle del Vergola, 303, 30121 Venezia VE, Italia",Aperto ⋅ Chiude alle ore 21,ChIJtd7LYQCxfkcR4NzDrdjXkeo,"{'latitude': 45.443548199999995, 'longitude': 12.324322299999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxxwb-19eSSb5vJuq1vIDwRFjk1fx6_zWCVFKbmMuevQhDg5X-wX81nTwgfC8qP8oMYKG1i15-t7u7Vzxn9UVOcmyR5LeA-bJgflVeAIEy-fDLF9wm6wQf7N1-Pyd_stl8EI2Uy-wQbyTpU=w115-h92-k-no,
8,Parco Navagero,4.4,66.0,Parco,"Calle Passerini, 30141 Venezia VE, Italia",Chiuso ⋅ Apre ven alle ore 08,ChIJu-kBVwGufkcRzSrmXr1XDmM,"{'latitude': 45.4567653, 'longitude': 12.357757399999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx7KEWcw2xB--OmVwnd5L39GgpQddmaL3QLPt_XQUHezZmxzUoB1Pk8pkWZusxhiwhiCW9BXx9TyGgV20ZMD3z5e7lrumgWUbqZPWBKCUUYVLLsSoGxNoUmnSwuVqXzyQLE-uxD=w122-h92-k-no,
9,Giardini di Ca' Rezzonico,4.4,69.0,Parco,"Fondamenta Rezzonico, 30123 Venezia VE, Italia",Chiuso ⋅ Apre ven alle ore 10,ChIJC5Nv-c6xfkcRSN1wy2n769c,"{'latitude': 45.4335868, 'longitude': 12.325755899999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyDxunzv4gdfjj-FtAQZQcbbZvOlf41mhqTc10qKtaPqtQlOd-MxURsOIAtVDBRckDAWOgdBN3uyFPxWRZ6bgH5jIO_hjJU1XGXZycAiE0QLuF66HjETGgu1HMrswchAPvDXopG=w80-h106-k-no,
10,Giardino di Fondamenta de la Pescaria,4.0,5.0,Giardino pubblico,"Fondamenta de la Pescheria, 30123 Venezia VE, Italia",Aperto 24 ore su 24,ChIJjZhi6cmxfkcRQTF2RBjLL_4,"{'latitude': 45.4324259, 'longitude': 12.317680099999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwUNMpoUjZkXZ9YY8mFzgvstLE_3NInTXaTteXvMcuxiP1JtTwTxFttimmpRSKOL86SpSnna7xtTPOadX0F4LnpSJ3dtlfMgHiSEF4OgV8Nnsc6N3AOxon6vuPPldslrv_E6vak=w80-h124-k-no,
