position,title,rating,reviews,type,address,open_state,place_id,gps,link,thumbnail,original
5,Campo Bandiera e Moro,4.5,972.0,Punto di riferimento storico,"Calle de la Pietà, 3723, 30122 Venezia VE, Italia",Aperto 24 ore su 24,ChIJ4UxwOyaufkcR-b4hbeInEzs,"{'latitude': 45.4347062, 'longitude': 12.346704599999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwisgT7SEFt9WFYQvNnTBFVA0RPnhqTfeEL--JbZdzaheNfm3MfHbBIVjRENLaPvekVlxYr4VBfTBB0tRzeOqWlNbotPZ76BhTgFsqv8WSYpnwfUvZYbGhBda2BrWLFNlPU9V7I=w122-h92-k-no,
9,Campo Santi Giovanni e Paolo,4.7,717.0,Punto di riferimento storico,"Campo Santi Giovanni e Paolo, 30122, VE, Italia",Aperto 24 ore su 24,ChIJQVGVKtmxfkcRUi192OwsePU,"{'latitude': 45.4392207, 'longitude': 12.341271899999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwBb-XNaghFi8bW4gAKVFZov9HBsI4CKcsMlkA9aAW8OPBMtxNTVX8xNVrVBhPZkKsEicMqqySLiXoLf4QmcqxyovoV0-vvRtMLi9gmcOKiP5vRBhcf_xf7vB-fqhwBVW_U3cuPAg=w137-h92-k-no,
10,Campo San Pietro,4.7,121.0,Giardino,"30122 Venezia VE, Italia",Aperto 24 ore su 24,ChIJsaKihzmufkcRrk3bQDfBnpE,"{'latitude': 45.4347133, 'longitude': 12.359084399999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxBSK4-o6NbXOhcb82xC8w8pnvo8x44TTp3eTaiUYN1fo8EYVkv7Vf53qtGXodBtNzuPDPjU9qWSNknmLvNKVa47eyRFgaJwoR5GC2AIsSr_RFE-cOzIwaj4ZzpnhcTi8Lr7tJ6=w80-h173-k-no,
18,Campo Stringari,4.7,11.0,Giardino,"Castello, 30132, VE, Italia",Aperto 24 ore su 24,ChIJu_Zp1jWufkcRwPSRrP6fvZE,"{'latitude': 45.4274394, 'longitude': 12.3614514}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyBUUtzv7QMvWqKVx1mubGzXMQmIStcF6Tw5AxP6EBS737EegGmcZgT9xdAJO0eHLNizYMdfPN5ZE9y0jq1IB_SLFD3hiLxqgtvk66B0DCsJ7lD-EjXGm22jzEtaaSucbMJ4IxmPg=w122-h92-k-no,
5,Campo Santi Filippo e Giacomo,5.0,16.0,Punto d'interesse culturale,"4272/4295, 30122 Venezia VE, Italia",Aperto 24 ore su 24,ChIJPRX5fU6xfkcR1ATh-Kl0S28,"{'latitude': 45.4350984, 'longitude': 12.3415187}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy4NdNLtUeaNTaXVCaFaxqjx707ewA1OQllbBtuKeEYmdeMSmYvIfhAlFOoLER9OVHJaV9LukytcLNLbdHdlnrzPDwDabyGzJHa6Wdgt5LR1r9l-WGF6JehQnyGg-uA4T4rakJ2=w80-h106-k-no,
6,Campo Santa Maria Formosa e majestic zanipolo,4.6,82.0,Punto di riferimento storico,"Campiello Santa Maria Formosa, 30122 Venezia VE, Italia",Ora aperto,ChIJ98eTLN-xfkcRSiEB8vEDJpY,"{'latitude': 45.4373626, 'longitude': 12.3409909}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwGSsyrVV3hVKeEuw-yPu_-Ial1TRon828ERzgw0gwVzMvKV3af_rB8MWPPvOuJzpY5zbDsv7gnkY6GWCceGEovhCwpLNg68oJmjQK3Sv8KSaynF1KLeenWA4jLJRkjYre4Pig9wg=w122-h92-k-no,
11,Campo San Lorenzo,5.0,2.0,Punto di riferimento storico,"Campo S. Lorenzo, 5063, 30122 Venezia VE, Italia",,ChIJU4ZtNQCvfkcRSg8zoMD1P2s,"{'latitude': 45.4371509, 'longitude': 12.3447164}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxBkCYkkn58wAGdQHS5le89kmQT6iV7jsBnw6gWa0T3a8ySdK3Lmhdv9RMRFh0EaEQsUCks-UWMcqvv4UuLMG_6K7FyxuyD2_-1WSMY9Ak7clixmOsaUV1ZOrAvMPZbguAHei_H93399JSQ=w80-h142-k-no,
18,Campo San Lorenzo,5.0,1.0,Appartamenti,"Castello, 5067, 30122 Venezia VE, Italia",,ChIJe4h9PACvfkcRpRjhLARFK2w,"{'latitude': 45.437072, 'longitude': 12.345155199999999}",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=m1yrjtn6RL0VKl-xxpJHig&cb_client=search.gws-prod.gps&w=80&h=92&yaw=149.24474&pitch=0&thumbfov=100,
11,Campo de la Fava,4.6,13.0,Punto d'interesse culturale,"Calle Seconda de la Fava, 5526, 30122 Venezia VE, Italia",Aperto 24 ore su 24,ChIJoaGrlQyxfkcR6y3UBanHYSg,"{'latitude': 45.4369862, 'longitude': 12.337787899999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz8u8kmFaO2qOKMPrj4X1oLO_ONhezbFx8f2JJ4oQNeGm4X34pbn8hIEMS13_lj7fE5vjeKGhOkQYbiZnX3bGONmuQcSiUACV5u7ljoyzMOoBtzk1BzgDINWdM378tTxMCiFM3TcA=w122-h92-k-no,
19,Patronato di San Pietro di Castello,4.6,5.0,Campo da calcetto,"Campo San Pietro, S. Pietro di Castello, 71a, 30122 Venezia VE, Italia",Chiude tra poco ⋅ 19:30 ⋅ Apre ven alle ore 16:30,ChIJlXSaSjqufkcRAw6C56WRTX8,"{'latitude': 45.4348119, 'longitude': 12.3595127}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzLt8rGUr1MGQm295KtTm1XqWOQ4xd6C3cw1NSk7_q2PXSBmeMD8a29eOcPoXa0jqfgfFk2fhc7eCEdrhNVVHti0PBgdF2zNwpeVQQtDtdc4Rh7HLyFG5yiGbvwj-BOu5cy0Qo=w122-h92-k-no,
