place_id,type,shop_name,shop_address,shop_rating,images,gps,review_rating,review_date,reviewer,review_text,link,local_guide
ChIJJU3QXNCxfkcRHldFYtvy6gc,Attrazione turistica,Campo Sant'Angelo,"Campo Sant'Anzolo, 30124 Venezia VE, Italia",4.6,,"45.4342081,12.3320584",3.0,4 months ago,Rochelle Peen,A little square with a nice view of a bell tower but not much happening there really it's more of a walk through. Few restaurants around and a gondola stop.,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25CSE9HMUNlVEpaWjB3elozcEpUa0ZXWkRKRFdYYxAB!2m1!1s0x0:0x7eaf2db6245571e!3m1!1s2@1:CAIQACodChtycF9oOnBHOG1CeTJZZ0wzZ3pJTkFWZDJDWXc%7C0cPXaB9sygD%7C?hl=en-GB,True
ChIJJU3QXNCxfkcRHldFYtvy6gc,Attrazione turistica,Campo Sant'Angelo,"Campo Sant'Anzolo, 30124 Venezia VE, Italia",4.6,,"45.4342081,12.3320584",5.0,2 months ago,ma2ike green,Rented an airbnb overlooking the square. 2 restaurants on the square. Quiet. Not too many tourists.,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21Gd1gxRTBaMUJpTkVSNlRGWXpaVGxhV1ZGNVpsRRAB!2m1!1s0x0:0x7eaf2db6245571e!3m1!1s2@1:CAIQACodChtycF9oOmFwX1E0Z1BiNER6TFYzZTlaWVF5ZlE%7C0cnf6fd-q8q%7C?hl=en-GB,True
ChIJJU3QXNCxfkcRHldFYtvy6gc,Attrazione turistica,Campo Sant'Angelo,"Campo Sant'Anzolo, 30124 Venezia VE, Italia",4.6,,"45.4342081,12.3320584",5.0,a month ago,Ryan DiMauro,"Food was great, prosecco flowed, ended up closing the place 😋",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s1c1UyUkxVV0pxTlhsbFZ6bFBUREZOUjI4ME1HYxAB!2m1!1s0x0:0x7eaf2db6245571e!3m1!1s2@1:CAIQACodChtycF9oOk5sU2RLUWJqNXllVzlPTDFNR280MGc%7C0cqFg7ByTCj%7C?hl=en-GB,True
ChIJJU3QXNCxfkcRHldFYtvy6gc,Attrazione turistica,Campo Sant'Angelo,"Campo Sant'Anzolo, 30124 Venezia VE, Italia",4.6,,"45.4342081,12.3320584",5.0,Edited 7 months ago,Sebastiano T.,"Beautiful Campo, very quiet outside of the main pedestrian route.
Have a look at the incredible leaning tower, and the beautiful little canal for Gondole only",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNIcDh5d2V3EAE!2m1!1s0x0:0x7eaf2db6245571e!3m1!1s2@1:CIHM0ogKEICAgICHp8ywew%7CCgwI-vjovwYQwOGN1gE%7C?hl=en-GB,True
ChIJJU3QXNCxfkcRHldFYtvy6gc,Attrazione turistica,Campo Sant'Angelo,"Campo Sant'Anzolo, 30124 Venezia VE, Italia",4.6,['https://lh3.googleusercontent.com/geougc-cs/AMBA38txhGhDWB-peqQlTBh2_7w6hd1JQG9L168e59r8S-eJWBe-lrX528BdkLdywgCvyimEzqu-B5NTTy_tjBtK0gRSFI_Ps4552JtzRwegGSgZoyXIyb3XkUQcueNjZsWWMNfeynSL'],"45.4342081,12.3320584",5.0,6 years ago,R Pritchard,Great square with a couple restaurants to get a quick bite or sit and enjoy the day. Wide open area invites larger groups to meet up and see what Sant'Angelo has to offer.,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQwekpIOFJnEAE!2m1!1s0x0:0x7eaf2db6245571e!3m1!1s2@1:CIHM0ogKEICAgID0zJH8Rg%7CCgsIuKnO7QUQ4KHqDQ%7C?hl=en-GB,True
ChIJJU3QXNCxfkcRHldFYtvy6gc,Attrazione turistica,Campo Sant'Angelo,"Campo Sant'Anzolo, 30124 Venezia VE, Italia",4.6,,"45.4342081,12.3320584",4.0,a year ago,Jean Mathieson,Had a lovely time in Venice. Make sure you do your homework re getting from the airport to the island. We got the bog standard water taxi and then had to find our hotel with suitcases to lug about in a strange place. In hindsight we would have paid the 170 euros and got the speedboat straight to our hotel.,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURUMHFieWVnEAE!2m1!1s0x0:0x7eaf2db6245571e!3m1!1s2@1:CIHM0ogKEICAgIDT0qbyeg%7CCgwI1va9sgYQ2KTWhgM%7C?hl=en-GB,True
ChIJJU3QXNCxfkcRHldFYtvy6gc,Attrazione turistica,Campo Sant'Angelo,"Campo Sant'Anzolo, 30124 Venezia VE, Italia",4.6,,"45.4342081,12.3320584",5.0,6 months ago,Kevin Murphy,Sea bass was amazing and we loved the lasagna.  The service was very good.,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURvb2V5VmdBRRAB!2m1!1s0x0:0x7eaf2db6245571e!3m1!1s2@1:CIHM0ogKEICAgMDooeyVgAE%7CCgsI0ImvwAYQgPaGYA%7C?hl=en-GB,True
ChIJJU3QXNCxfkcRHldFYtvy6gc,Attrazione turistica,Campo Sant'Angelo,"Campo Sant'Anzolo, 30124 Venezia VE, Italia",4.6,,"45.4342081,12.3320584",3.0,3 months ago,Rayman Chee,Don't expect to much from the website picture as a lot of the scene has already run down.,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21sWmRUaDNNMTlMYTFGcWRrSmZNblowVUMwMGVVRRAB!2m1!1s0x0:0x7eaf2db6245571e!3m1!1s2@1:CAIQACodChtycF9oOmlZdTh3M19La1FqdkJfMnZ0UC00eUE%7C0cYy-ls8wSQ%7C?hl=en-GB,True
ChIJK2OLP0yxfkcRUg197rTIPNg,Punto di riferimento storico,Campo San Bortolomio,"Campo S. Bortolomio, 30100 Venezia VE, Italia",4.6,"['https://lh3.googleusercontent.com/geougc-cs/AMBA38uFfNpd4a9-TCWjgykj5JGtwBoUD7FRjwDFCqPNrU_5sXRYbeO-ARTiCleVuykAg4gsG7lMzvk60-Fb7i0BkqT8YLX7saNJ_uyWRtrTL1sxNUD5SgQa3adX-mi4kqUDPJ9U28V9YjnLVuw', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38uy_Cuukd_j3asX-G-VRTFBmyWm4nVwKFqOmeexcjmrxNfc5cG8Q0PhP3au1FtEF5NWgdS1Oxtef5oRZIbaViaN8pkynw-N3X8ClUAnhE2bsDyFI0XKxP_T9oEwoeCm0KcVnIryLLWtivo', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38tLl0uhnfiyh1TNt0Ld2CQQh4NSMRyCaGGnzMQjUIcHujJ9u88ebcyT_BecEUuk7K_ZCcL2EhPblxg1ExLdn19HGhSVqzpEYWOTRbrlCe4u6taAotHCZ8orEb41LRnncT9eQFQbMSJpv3I', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38u3D6bnurL-DwBxSGElQ_MJHkm5RHA1lHVl8O8fxJE6XWI3sutjhzM6ZxzJzlGbrWVkWVe76b5znvEzr_ZF7crxClzgYIsDpPtaUoYOamng9scWUyS-tin574J1ZjEFrlX6MNq1inpVMkjv', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38sPmp3W9Y14e3EhBnrUdROQdjQ_CSS8EApFNKXo-ssPV2-qBfE_2qkXZhGyn0AeQhBnDNHeF2XA-1yLVwUOYqWlUeSldkm-clj7_tX33VzxJ68qdJnQuZQfDekpO4ZG_E8qh-emUXKqd6D4', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38uGgGO1ASeLbP5PpCsfh77Hy8-b_vVmqMFKt9xpCjFZ6abH9wfer0AqMN4KsFHcOb-gcdAc3tDQbj-vM1WlIhFX5nTBYEnW945fc2FlDC7fNTu1vw9D1JuqDULk-EZrbb8cy8mpDuEYjtyX', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38uioojS9gEmlMd3xkGHwuUSwFW_cjt4s78i9YAgpmzaUnRBrWLl2YvSNI5gSDv2K2BOnUySyeZwpmJpe6AujBx_E6ApX3D1dDPtsp3G7gBvBv-1akIBiSiEK-dlcKCVdCX7edkffUiv3Xc8', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38v6TAfFGZbIX2hHm0LHSxO1Pg9GpExAkwrsl6f8csKBPYty-efJwnB5zjOLOimRWY5KvLBXtS5WE0c7S7zS0GAZYGPhW2Lu7ukjilRqKBwUHwCA4qsZgpGvFJqDISq1Rm2HK15_8-paoGui', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38v4HB0fmLA7W6Wu3WbTfio4Y-EtQLVXl-r2Ki4QNPlHmeku80-yltqPErTzksv1-4UBWrfKdOSk07CCkOiOsGZtf8RBcmvQ6SJ0-hCJNwocL1m66EOxP0BZkjJqujYMlAMAzvK_oIgIgFXj', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38tuNUcOdXbtpvJxK0SU4tmDbTyOAKtYWcUUK2arn0_Ba-xyHQ4jj-gmM1OJlUgP63aDiK98NPB4RaEucjwf7t-r0kBwdgFv4Rz0T7J1bDKPVXTaAAkbtgy4VUFpPCJcG9XdS2oQPyuirtmd', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38uyYKAxXMb3uInQUDoYGb6B1QB5HXMiq_zC55FwKU3rCUn1kMwJhsjCymNX4QClHT-SvudYmBXJNZSW-rpDgpVonHUmckJZ3Y2ZkPOp05ebGG194ixMBCUBueYyrmvEZiXXNi9L-id5IDfA', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38uJ_jsZjFiRFVOq4khMq41hCLwR7uFlJHv3FV5bgaCLTcK6_ra-FoiDmPR_t2-F5jaqBL2tdbISGUAT_DlrDh21OOmPunY4bZF_hNYaYeAPFhSbWDkOGQ0J6o0BY219HexWnEZuDf5w6vzt']","45.4377268,12.3368342",5.0,3 weeks ago,Anastasiia Kazmirchuk,"I really fell in love with Venice. It was beautiful, even in the rain",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2kxcFkzTXhWMEk1V1ZOMk9VRnBaa0pSV1hSU2IyYxAB!2m1!1s0x0:0xd83cc8b4ee7d0d52!3m1!1s2@1:CAIQACodChtycF9oOi1pY3MxV0I5WVN2OUFpZkJRWXRSb2c%7C0czDAGMyKry%7C?hl=en-US,True
ChIJK2OLP0yxfkcRUg197rTIPNg,Punto di riferimento storico,Campo San Bortolomio,"Campo S. Bortolomio, 30100 Venezia VE, Italia",4.6,"['https://lh3.googleusercontent.com/geougc-cs/AMBA38uGMOQmq8dCP3KVpYKmQ6OgENxPdD00A0AtKdEtEuwAQNi9asLara7JyTDcfubv9P_K4n50v2v9fJPOhlJ-taFjW5ORUZN9Voz1yPFRHAV3ieEeAWu454LpqDnlqUhg2EuG0bcHXA', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38vOrN-SGu9J_ULMd9FMx5M3rRk9PNnBIEjEnxBFDdK1vEcYVf6XQ5qALkQg0yHaCyXwLxTeZAoY44PeT1xGNJQWshqVVpxm7qeEa076q61bjy5ds1O6_sMgxySfCNzT0jlEUFAo']","45.4377268,12.3368342",5.0,7 months ago,Braulio A.,"Campo San Bortolomio is a charming and bustling square in Venice, perfectly situated near the iconic Rialto Bridge. Surrounded by elegant boutiques and high-end shops, it is a lively meeting point where both locals and visitors gather to soak in the city’s vibrant atmosphere. The square’s energy is enhanced by its rich history and architectural beauty, making it an essential stop for anyone exploring Venice.

Fittingly, amidst the luxury and grandeur, you will find a statue dedicated to none other than Giacomo Casanova, the infamous Venetian adventurer and seducer. His presence in this sophisticated setting feels almost poetic—after all, Casanova was known for his love of fine things, from fashion to literature. The statue serves as a reminder of Venice’s alluring past, where romance, intrigue, and elegance intertwined seamlessly.

Whether you’re pausing to admire the statue, indulging in some high-end shopping, or simply enjoying the lively atmosphere, Campo San Bortolomio offers a perfect blend of history and modern charm. Its location near the Rialto ensures it remains a popular spot, yet it still retains a unique character that makes it worth more than just a passing glance.",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNJMWIyM1JnEAE!2m1!1s0x0:0xd83cc8b4ee7d0d52!3m1!1s2@1:CIHM0ogKEICAgMCI1b23Rg%7CCgsIwJC7vwYQoOW0Vg%7C?hl=en-US,True
