Seconds_Offset,Lon,Lat,Void,Bio,Tech,Entropy,GSR
0.0,12.357898,45.432299,0.01,0.34,0.63,0.02,519.0
8.0,12.35789,45.432287,0.0,0.05,0.95,0.0,502.0
16.0,12.357892,45.432283,0.96,0.0,0.0,0.04,493.0
24.0,12.357871,45.432287,0.44,0.0,0.0,0.56,487.0
32.0,12.357888,45.432265,0.37,0.0,0.0,0.63,485.0
40.0,12.357876,45.432269,0.98,0.0,0.0,0.02,484.0
48.0,12.357848,45.432282,0.96,0.0,0.0,0.04,485.0
56.0,12.357783,45.432318,0.13,0.0,0.28,0.58,488.0
64.0,12.357727,45.432394,0.33,0.03,0.57,0.08,491.0
72.0,12.357634,45.432374,0.48,0.0,0.0,0.52,495.0
80.0,12.357554,45.432342,0.51,0.01,0.0,0.49,493.0
88.0,12.357456,45.432357,0.7,0.0,0.0,0.3,495.0
96.0,12.357456,45.432357,0.7,0.0,0.0,0.3,495.0
104.0,12.357356,45.432361,0.59,0.0,0.0,0.41,498.0
112.0,12.357331,45.432216,0.12,0.0,0.0,0.88,500.0
120.0,12.357303,45.43209,0.48,0.0,0.0,0.52,499.0
128.0,12.35727,45.432064,0.23,0.07,0.66,0.05,493.0
136.0,12.357279,45.432173,0.86,0.02,0.0,0.12,491.0
144.0,12.357303,45.43219,0.85,0.01,0.05,0.09,490.0
152.0,12.35723,45.432203,0.51,0.01,0.04,0.45,490.0
160.0,12.357102,45.432186,0.86,0.01,0.06,0.07,490.0
168.0,12.357113,45.432113,0.88,0.0,0.01,0.11,491.0
176.0,12.357041,45.43216,0.7,0.0,0.0,0.3,494.0
184.0,12.356854,45.43215,0.05,0.01,0.0,0.93,493.0
192.0,12.35682,45.432167,0.4,0.01,0.01,0.58,494.0
200.0,12.35682,45.432167,0.4,0.01,0.01,0.58,494.0
208.0,12.356887,45.43211,0.26,0.48,0.2,0.05,495.0
216.0,12.356873,45.43207,0.73,0.03,0.1,0.14,493.0
224.0,12.356901,45.431976,0.87,0.02,0.01,0.11,493.0
232.0,12.356954,45.431877,0.8,0.03,0.07,0.1,490.0
240.0,12.356956,45.431835,0.62,0.02,0.0,0.36,490.0
248.0,12.356901,45.431789,0.94,0.01,0.0,0.05,490.0
256.0,12.356823,45.431747,0.48,0.06,0.0,0.47,473.0
264.0,12.356826,45.431654,0.48,0.01,0.03,0.48,470.0
272.0,12.356839,45.431625,0.73,0.03,0.09,0.15,470.0
280.0,12.356882,45.431607,0.92,0.02,0.0,0.06,475.0
288.0,12.356915,45.43155,0.7,0.2,0.01,0.08,479.0
296.0,12.356915,45.43155,0.7,0.2,0.01,0.08,479.0
304.0,12.356967,45.431516,0.52,0.18,0.02,0.27,481.0
312.0,12.356993,45.431505,0.57,0.01,0.01,0.42,483.0
320.0,12.356931,45.431441,0.05,0.0,0.0,0.94,484.0
328.0,12.356854,45.431385,0.26,0.02,0.06,0.66,487.0
336.0,12.356739,45.431357,0.25,0.01,0.04,0.7,488.0
344.0,12.356749,45.431319,0.27,0.01,0.03,0.68,490.0
352.0,12.35672,45.431254,0.15,0.0,0.13,0.72,490.0
360.0,12.356691,45.431154,0.46,0.02,0.49,0.03,491.0
368.0,12.356747,45.43104,0.35,0.0,0.11,0.53,492.0
376.0,12.356779,45.430961,0.62,0.0,0.01,0.37,491.0
384.0,12.35679,45.430905,0.93,0.0,0.0,0.07,492.0
392.0,12.35679,45.430905,0.93,0.0,0.0,0.07,492.0
400.0,12.356813,45.430835,0.94,0.04,0.01,0.01,491.0
408.0,12.35678,45.430652,0.28,0.0,0.07,0.64,492.0
416.0,12.356696,45.430449,0.11,0.0,0.38,0.51,490.0
424.0,12.356619,45.430323,0.37,0.01,0.5,0.12,488.0
432.0,12.35675,45.430269,0.7,0.18,0.07,0.06,489.0
440.0,12.356808,45.430221,0.38,0.07,0.48,0.07,489.0
448.0,12.356759,45.430168,0.61,0.08,0.0,0.3,488.0
456.0,12.356716,45.430156,0.87,0.06,0.0,0.06,486.0
464.0,12.356634,45.430164,0.94,0.01,0.0,0.05,485.0
472.0,12.35653,45.430162,0.54,0.12,0.01,0.33,487.0
480.0,12.356442,45.43015,0.42,0.2,0.04,0.34,486.0
488.0,12.356442,45.43015,0.42,0.2,0.04,0.34,486.0
496.0,12.356355,45.430168,0.03,0.0,0.0,0.96,486.0
504.0,12.356229,45.430208,0.0,0.08,0.02,0.9,486.0
512.0,12.356161,45.430249,0.05,0.02,0.34,0.58,487.0
520.0,12.356143,45.430245,0.44,0.02,0.01,0.53,479.0
528.0,12.356125,45.430234,0.05,0.0,0.0,0.95,476.0
536.0,12.35604,45.430215,0.85,0.0,0.0,0.14,478.0
544.0,12.355968,45.430162,0.12,0.47,0.06,0.35,482.0
552.0,12.355887,45.430106,0.53,0.31,0.0,0.16,482.0
560.0,12.355801,45.430088,0.72,0.24,0.03,0.01,485.0
568.0,12.355771,45.429976,0.01,0.89,0.0,0.1,487.0
576.0,12.355798,45.429887,0.01,0.01,0.0,0.98,489.0
584.0,12.355798,45.429887,0.01,0.01,0.0,0.98,489.0
592.0,12.35585,45.429855,0.56,0.39,0.01,0.05,490.0
600.0,12.355925,45.429821,0.6,0.07,0.0,0.32,491.0
608.0,12.356024,45.429788,0.03,0.0,0.0,0.97,492.0
616.0,12.356124,45.429763,0.13,0.1,0.0,0.77,492.0
624.0,12.356248,45.429739,0.07,0.52,0.0,0.4,492.0
632.0,12.356359,45.429693,0.0,0.61,0.0,0.38,491.0
640.0,12.356429,45.429614,0.22,0.49,0.0,0.29,491.0
648.0,12.356474,45.429518,0.85,0.01,0.0,0.14,492.0
656.0,12.356507,45.429431,0.65,0.16,0.0,0.19,492.0
664.0,12.356545,45.429364,0.0,0.99,0.0,0.01,492.0
672.0,12.356629,45.429321,0.63,0.03,0.0,0.35,491.0
680.0,12.356629,45.429321,0.63,0.03,0.0,0.35,491.0
688.0,12.356711,45.429284,0.94,0.03,0.0,0.02,492.0
696.0,12.356749,45.429233,0.72,0.12,0.0,0.16,492.0
704.0,12.356734,45.429164,0.48,0.51,0.0,0.01,491.0
712.0,12.356699,45.42904,0.56,0.37,0.0,0.07,490.0
720.0,12.356756,45.428967,0.37,0.44,0.0,0.18,489.0
728.0,12.356763,45.428949,0.06,0.26,0.01,0.68,489.0
736.0,12.356769,45.428932,0.9,0.03,0.01,0.06,488.0
744.0,12.356831,45.428841,0.94,0.0,0.0,0.05,484.0
752.0,12.356937,45.428741,0.66,0.16,0.0,0.19,484.0
760.0,12.357006,45.428607,0.84,0.01,0.0,0.15,485.0
768.0,12.357006,45.428607,0.84,0.01,0.0,0.15,485.0
776.0,12.357047,45.428548,0.02,0.04,0.0,0.94,483.0
784.0,12.357053,45.428532,0.02,0.01,0.0,0.97,478.0
792.0,12.357054,45.428521,0.39,0.01,0.0,0.6,476.0
800.0,12.357052,45.428511,0.64,0.01,0.0,0.35,478.0
808.0,12.35705,45.428478,0.12,0.0,0.0,0.88,478.0
816.0,12.356983,45.428445,0.99,0.0,0.0,0.0,479.0
824.0,12.356988,45.428428,0.74,0.02,0.0,0.24,481.0
832.0,12.357109,45.428429,0.02,0.0,0.0,0.98,483.0
840.0,12.35713,45.428419,0.05,0.0,0.0,0.95,483.0
848.0,12.357132,45.428416,0.24,0.01,0.0,0.75,486.0
856.0,12.357077,45.428368,0.98,0.01,0.0,0.01,486.0
864.0,12.357077,45.428368,0.98,0.01,0.0,0.01,486.0
872.0,12.357001,45.428331,0.94,0.01,0.0,0.05,487.0
880.0,12.356986,45.428266,0.99,0.0,0.0,0.01,487.0
888.0,12.357042,45.428212,0.63,0.29,0.05,0.03,488.0
896.0,12.357079,45.428165,0.71,0.17,0.04,0.08,490.0
904.0,12.357096,45.428123,0.04,0.89,0.06,0.01,489.0
912.0,12.357137,45.428072,0.33,0.56,0.11,0.0,485.0
920.0,12.3572,45.428012,0.47,0.41,0.08,0.04,484.0
928.0,12.357276,45.427972,0.51,0.31,0.05,0.14,485.0
936.0,12.357306,45.427908,0.0,0.31,0.55,0.14,485.0
944.0,12.357306,45.427908,0.0,0.31,0.55,0.14,485.0
952.0,12.357348,45.427856,0.36,0.6,0.02,0.01,486.0
960.0,12.357404,45.427773,0.85,0.12,0.01,0.02,484.0
968.0,12.357492,45.427708,0.35,0.62,0.02,0.01,481.0
976.0,12.357562,45.427641,0.08,0.41,0.23,0.28,484.0
984.0,12.35767,45.427593,0.0,0.0,0.01,0.99,484.0
992.0,12.357729,45.427532,0.46,0.4,0.0,0.13,486.0
1000.0,12.357806,45.427506,0.34,0.03,0.01,0.63,486.0
1008.0,12.357883,45.427474,1.0,0.0,0.0,0.0,485.0
1016.0,12.357904,45.427483,1.0,0.0,0.0,0.0,484.0
1024.0,12.357909,45.427484,0.96,0.04,0.0,0.0,482.0
1032.0,12.357909,45.427484,0.96,0.04,0.0,0.0,482.0
1040.0,12.357906,45.42748,1.0,0.0,0.0,0.0,481.0
1048.0,12.357972,45.427488,0.13,0.82,0.03,0.03,481.0
1056.0,12.358061,45.427487,0.23,0.03,0.0,0.74,481.0
1064.0,12.35814,45.427435,0.95,0.01,0.02,0.02,484.0
1072.0,12.358227,45.427418,0.87,0.05,0.0,0.09,483.0
1080.0,12.358319,45.427389,0.63,0.34,0.01,0.02,479.0
1088.0,12.35839,45.427366,0.97,0.02,0.0,0.01,478.0
1096.0,12.358482,45.427415,0.11,0.62,0.0,0.26,478.0
1104.0,12.358529,45.427498,0.43,0.13,0.0,0.44,478.0
1112.0,12.358606,45.427544,0.42,0.04,0.0,0.54,478.0
1120.0,12.358606,45.427544,0.42,0.04,0.0,0.54,478.0
1128.0,12.358679,45.42752,0.0,0.01,0.0,0.99,477.0
1136.0,12.358772,45.42752,0.04,0.73,0.0,0.23,477.0
1144.0,12.358845,45.427536,0.02,0.13,0.0,0.85,479.0
1152.0,12.358955,45.427598,0.8,0.05,0.01,0.14,475.0
1160.0,12.359045,45.427635,0.66,0.0,0.0,0.33,476.0
1168.0,12.359155,45.427672,0.29,0.01,0.02,0.69,476.0
1176.0,12.359287,45.427723,0.74,0.13,0.02,0.11,477.0
1184.0,12.35942,45.42778,0.69,0.0,0.0,0.31,477.0
1192.0,12.359516,45.427839,0.84,0.01,0.01,0.14,478.0
1200.0,12.359516,45.427839,0.84,0.01,0.01,0.14,478.0
1208.0,12.35961,45.427866,0.66,0.0,0.0,0.33,478.0
1216.0,12.35968,45.427941,0.07,0.0,0.0,0.93,480.0
1224.0,12.359762,45.427961,0.07,0.01,0.56,0.36,480.0
1232.0,12.359802,45.42797,0.62,0.03,0.09,0.26,477.0
1240.0,12.359814,45.427957,0.99,0.01,0.01,0.0,478.0
1248.0,12.359826,45.427966,0.58,0.21,0.21,0.0,476.0
1256.0,12.359911,45.427959,0.17,0.0,0.03,0.79,479.0
1264.0,12.359994,45.427955,0.42,0.03,0.18,0.37,481.0
1272.0,12.360117,45.427962,0.0,0.0,0.01,0.98,479.0
1280.0,12.360207,45.427961,0.02,0.0,0.01,0.96,478.0
1288.0,12.360207,45.427961,0.02,0.0,0.01,0.96,478.0
1296.0,12.36025,45.427948,0.28,0.25,0.0,0.47,478.0
1304.0,12.360338,45.427952,0.85,0.01,0.0,0.14,475.0
1312.0,12.360394,45.427958,0.03,0.09,0.88,0.0,475.0
1320.0,12.360527,45.427961,0.06,0.0,0.18,0.76,475.0
1328.0,12.360594,45.427959,0.35,0.0,0.08,0.56,476.0
1336.0,12.360683,45.427946,0.8,0.0,0.02,0.17,476.0
1344.0,12.360734,45.427953,0.45,0.0,0.16,0.39,475.0
1352.0,12.360844,45.42797,0.49,0.01,0.41,0.09,476.0
1360.0,12.360933,45.427976,0.52,0.03,0.08,0.38,476.0
1368.0,12.360933,45.427976,0.52,0.03,0.08,0.38,476.0
1376.0,12.360989,45.427962,0.31,0.01,0.05,0.62,477.0
1384.0,12.361046,45.427928,0.17,0.02,0.03,0.79,477.0
1392.0,12.361098,45.427923,0.04,0.1,0.06,0.8,477.0
1400.0,12.36118,45.427855,0.45,0.29,0.04,0.22,476.0
1408.0,12.361272,45.427791,0.44,0.07,0.0,0.48,476.0
1416.0,12.361271,45.427704,0.14,0.29,0.01,0.57,476.0
1424.0,12.361279,45.427626,0.04,0.0,0.01,0.95,476.0
1432.0,12.361269,45.427568,0.06,0.0,0.0,0.94,477.0
1440.0,12.361271,45.427498,0.77,0.01,0.0,0.22,475.0
1448.0,12.361271,45.427498,0.77,0.01,0.0,0.22,475.0
1456.0,12.36128,45.427428,0.22,0.02,0.02,0.73,476.0
1464.0,12.361304,45.427414,0.54,0.01,0.05,0.39,477.0
1472.0,12.36134,45.427384,0.9,0.01,0.02,0.07,478.0
1480.0,12.361408,45.427345,0.09,0.3,0.61,0.0,477.0
1488.0,12.361356,45.427277,0.03,0.0,0.0,0.97,478.0
1496.0,12.361334,45.427222,0.03,0.0,0.0,0.97,475.0
1504.0,12.361412,45.427189,0.22,0.03,0.66,0.08,470.0
1512.0,12.361398,45.427123,0.39,0.01,0.4,0.21,468.0
1520.0,12.361432,45.427109,0.07,0.05,0.12,0.76,465.0
1528.0,12.361432,45.427109,0.07,0.05,0.12,0.76,465.0
1536.0,12.361516,45.427077,0.35,0.0,0.0,0.65,466.0
1544.0,12.3616,45.427029,0.03,0.02,0.0,0.95,467.0
1552.0,12.361675,45.426949,0.01,0.0,0.0,0.98,467.0
1560.0,12.361753,45.426866,0.0,0.0,0.0,1.0,469.0
1568.0,12.361837,45.426814,0.05,0.0,0.0,0.94,468.0
1576.0,12.361899,45.426763,0.03,0.0,0.0,0.97,467.0
1584.0,12.361941,45.426747,0.02,0.03,0.92,0.03,469.0
1592.0,12.36207,45.426735,0.01,0.03,0.95,0.0,468.0
1600.0,12.362146,45.426733,0.16,0.01,0.19,0.64,469.0
