Seconds_Offset,Lon,Lat,Void,Bio,Tech,Entropy,GSR
0.0,12.357825,45.432679,0.2,0.02,0.03,0.75,344.0
8.0,12.357866,45.432697,0.18,0.05,0.1,0.67,331.0
16.0,12.357919,45.432709,0.03,0.01,0.01,0.95,331.0
24.0,12.357958,45.432732,0.0,0.0,0.0,0.99,344.0
32.0,12.358003,45.432784,0.62,0.0,0.0,0.38,344.0
40.0,12.358029,45.432802,0.08,0.0,0.01,0.91,344.0
48.0,12.358095,45.432819,0.46,0.0,0.06,0.48,340.0
56.0,12.358163,45.432826,0.01,0.0,0.96,0.02,345.0
64.0,12.358223,45.432828,0.02,0.0,0.01,0.97,342.0
72.0,12.358305,45.432816,0.97,0.0,0.0,0.03,335.0
80.0,12.358423,45.432817,0.39,0.0,0.09,0.52,344.0
88.0,12.358514,45.432796,0.05,0.0,0.05,0.91,355.0
96.0,12.358537,45.432792,0.18,0.05,0.01,0.76,347.0
104.0,12.358599,45.432805,0.06,0.0,0.01,0.93,350.0
112.0,12.358675,45.43283,0.09,0.0,0.09,0.82,352.0
120.0,12.358681,45.432828,0.82,0.01,0.05,0.12,358.0
128.0,12.358764,45.432849,0.2,0.1,0.46,0.25,347.0
136.0,12.358776,45.432851,0.08,0.03,0.86,0.03,357.0
144.0,12.358781,45.432852,0.32,0.0,0.37,0.3,355.0
152.0,12.358785,45.432854,0.34,0.01,0.53,0.13,354.0
160.0,12.358857,45.432871,0.01,0.02,0.0,0.97,355.0
168.0,12.358948,45.432895,0.68,0.01,0.09,0.22,353.0
176.0,12.35904,45.432923,0.21,0.0,0.67,0.11,347.0
184.0,12.35912,45.432954,0.29,0.13,0.36,0.22,367.0
192.0,12.359197,45.432962,0.19,0.26,0.55,0.0,355.0
200.0,12.359223,45.432972,0.18,0.04,0.71,0.07,356.0
208.0,12.359198,45.433023,0.56,0.1,0.31,0.03,345.0
216.0,12.359148,45.433073,0.59,0.02,0.28,0.11,362.0
224.0,12.359139,45.433071,0.97,0.0,0.01,0.02,358.0
232.0,12.359131,45.433083,0.23,0.03,0.17,0.57,363.0
240.0,12.359122,45.43309,0.74,0.0,0.0,0.25,362.0
248.0,12.359115,45.433099,0.65,0.01,0.0,0.34,365.0
256.0,12.359137,45.433117,0.94,0.04,0.0,0.01,367.0
264.0,12.359128,45.433118,0.21,0.01,0.0,0.78,367.0
272.0,12.359112,45.433123,0.0,0.02,0.97,0.01,368.0
280.0,12.359103,45.433123,0.02,0.02,0.84,0.11,371.0
288.0,12.359099,45.433127,0.0,0.01,0.09,0.89,366.0
296.0,12.359095,45.433136,0.31,0.16,0.48,0.05,369.0
304.0,12.359081,45.433196,0.08,0.06,0.8,0.06,374.0
312.0,12.359067,45.43323,0.01,0.0,0.99,0.0,365.0
320.0,12.359031,45.433269,0.05,0.0,0.01,0.94,351.0
328.0,12.358999,45.43331,0.01,0.07,0.92,0.0,347.0
336.0,12.358946,45.433367,0.04,0.01,0.02,0.93,347.0
344.0,12.358867,45.433413,0.74,0.03,0.14,0.09,347.0
352.0,12.358783,45.433479,0.18,0.03,0.2,0.59,344.0
360.0,12.358695,45.433534,0.18,0.02,0.01,0.79,346.0
368.0,12.358634,45.433597,0.73,0.01,0.03,0.23,350.0
376.0,12.358613,45.433656,0.41,0.02,0.09,0.49,361.0
384.0,12.358658,45.433677,0.03,0.1,0.01,0.86,362.0
392.0,12.358721,45.433691,0.56,0.0,0.0,0.43,357.0
400.0,12.358761,45.433714,0.03,0.02,0.0,0.95,362.0
408.0,12.3588,45.433763,0.0,0.93,0.0,0.07,362.0
416.0,12.358833,45.433748,0.01,0.96,0.0,0.03,363.0
424.0,12.358824,45.433769,0.0,1.0,0.0,0.0,360.0
432.0,12.35886,45.433796,0.09,0.02,0.43,0.45,368.0
440.0,12.358956,45.433825,0.18,0.04,0.07,0.71,361.0
448.0,12.359022,45.433838,0.3,0.01,0.02,0.67,359.0
456.0,12.359025,45.433869,0.24,0.2,0.03,0.53,367.0
464.0,12.359066,45.43396,0.82,0.02,0.08,0.08,376.0
472.0,12.359098,45.434042,0.01,0.95,0.04,0.0,385.0
480.0,12.359093,45.434092,0.57,0.05,0.03,0.35,383.0
488.0,12.359097,45.434111,1.0,0.0,0.0,0.0,369.0
496.0,12.359073,45.434158,0.1,0.0,0.0,0.9,368.0
504.0,12.359123,45.434242,0.99,0.0,0.0,0.0,389.0
